time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad,ideal_encoder_count_phase5a,count_difference_vs_phase5a
0.509,499.642925829477,0.110614001467899,0.00553070007339493,2.61612424200666,52.3224848401332,2.83786539901763,0,500,498.046875,1.953125,2.83786539901763,2.82574907732574,-194.972274920487,0,2.83786539901763,0.236488783251469,2.83786539901763,0,20.5978058825616,13427,34,498.046875,-1.59605082947712,499.642925829477,498.046875,1,0,2,2,13427,0,0,13427,20.5978058825616,13427,0
0.51,499.6718146739,0.110748444842183,0.00553742224210916,2.61627550364234,52.3255100728468,2.83803106894272,0,500,498.046875,1.953125,2.83803106894272,2.82591474725083,-162.476895767073,0,2.83803106894272,0.23650258907856,2.83803106894272,0,20.65012987481,13461,34,498.046875,-1.6249396738998,499.6718146739,498.046875,0,1,1,1,13461,0,0,13461,20.65012987481,13461,0
0.511,499.701092032873,0.110802032740811,0.00554010163704053,2.61642879953545,52.328575990709,2.83819673886781,0,500,498.046875,1.953125,2.83819673886781,2.82608041717592,-135.397413139227,0,2.83819673886781,0.236516394905651,2.83819673886781,0,20.7024569159525,13495,34,498.046875,-1.65421703287313,499.701092032873,498.046875,1,0,2,2,13495,0,0,13495,20.7024569159525,13495,0
0.512,499.730512341798,0.11082550098191,0.00554127504909551,2.61658284391276,52.3316568782552,2.7474899961037,0,500,512.6953125,-12.6953125,2.7474899961037,2.82624608710101,2328.57507238398,0,2.7474899961037,0.228957499675309,2.7474899961037,-4.44089209850063e-16,20.754787031734,13530,35,512.6953125,12.9648001582023,499.730512341798,512.6953125,1,1,3,1,13530,1,0,13530,20.754787031734,13530,0
0.513,499.680281496354,0.0821754010425579,0.0041087700521279,2.61631983582104,52.3263967164209,2.83728555427981,0,500,498.046875,1.953125,2.83728555427981,2.82516923258792,-500.927023013352,0,2.83728555427981,0.236440462856651,2.83728555427981,-4.44089209850063e-16,20.8071172325363,13564,34,498.046875,-1.6334064963541,499.680281496354,498.046875,0,0,0,0,13564,0,0,13564,20.8071172325363,13564,0
0.514,499.62284651879,0.100135713501567,0.00500678567507833,2.61601910698175,52.3203821396351,2.8374512242049,0,500,498.046875,1.953125,2.8374512242049,2.82533490251301,-417.43918584446,0,2.8374512242049,0.236454268683742,2.8374512242049,0,20.8594398850641,13598,34,498.046875,-1.57597151879025,499.62284651879,498.046875,1,1,3,3,13598,0,0,13598,20.8594398850641,13598,0
0.515,499.619942401603,0.106830761790309,0.00534153808951545,2.61600390105972,52.3200780211943,2.83761689412999,0,500,498.046875,1.953125,2.83761689412999,2.8255005724381,-347.865988203717,0,2.83761689412999,0.236468074510833,2.83761689412999,-4.44089209850063e-16,20.9117598406454,13632,34,498.046875,-1.57306740160254,499.619942401603,498.046875,0,0,0,0,13632,0,0,13632,20.9117598406454,13632,0
0.516,499.637353388706,0.10932869945982,0.005466434972991,2.61609506477501,52.3219012955002,2.83778256405508,0,500,498.046875,1.953125,2.83778256405508,2.82566624236319,-289.888323503097,0,2.83778256405508,0.236481880337924,2.83778256405508,0,20.9640807280819,13666,34,498.046875,-1.59047838870595,499.637353388706,498.046875,1,1,3,3,13666,0,0,13666,20.9640807280819,13666,0
0.517,499.662331690455,0.110262917968897,0.00551314589844486,2.61622585085713,52.3245170171426,2.83794823398018,0,500,498.046875,1.953125,2.83794823398018,2.82583191228828,-241.573602919248,0,2.83794823398018,0.236495686165015,2.83794823398018,-4.44089209850063e-16,21.0164038992017,13700,34,498.046875,-1.61545669045489,499.662331690455,498.046875,0,0,0,0,13700,0,0,13700,21.0164038992017,13700,0
0.518,499.690127866163,0.110614543475256,0.00553072717376279,2.6163713912928,52.3274278258561,2.83811390390527,0,500,498.046875,1.953125,2.83811390390527,2.82599758221337,-201.31133576604,0,2.83811390390527,0.236509491992106,2.83811390390527,0,21.0687298575001,13734,34,498.046875,-1.64325286616298,499.690127866163,498.046875,1,1,3,3,13734,0,0,13734,21.0687298575001,13734,0
0.519,499.718972430547,0.11074911542275,0.0055374557711375,2.61652242107874,52.3304484215749,2.83827957383036,0,500,498.046875,1.953125,2.83827957383036,2.82616325213847,-167.7594464717,0,2.83827957383036,0.236523297819197,2.83827957383036,-4.44089209850063e-16,21.12105879041,13768,34,498.046875,-1.67209743054701,499.718972430547,498.046875,0,0,0,0,13768,0,0,13768,21.12105879041,13768,0
0.52,499.748206144053,0.110802823282632,0.0055401411641316,2.61667548844473,52.3335097688945,2.83844524375545,0,500,498.046875,1.953125,2.83844524375545,2.82632892206356,-139.799538726417,0,2.83844524375545,0.236537103646288,2.83844524375545,0,21.1733907676106,13802,34,498.046875,-1.70133114405343,499.748206144053,498.046875,1,1,3,3,13802,0,0,13802,21.1733907676106,13802,0
0.521,499.777583412606,0.110826407297849,0.00554132036489243,2.61682930746317,52.3365861492635,2.74773850099134,0,500,512.6953125,-12.6953125,2.74773850099134,2.82649459198865,2324.90663439465,0,2.74773850099134,0.228978208415945,2.74773850099134,0,21.2257258149114,13837,35,512.6953125,12.9177290873935,499.777583412606,512.6953125,0,1,1,0,13837,1,0,13837,21.2257258149114,13837,0
0.522,499.727310115903,0.0821764206073255,0.00410882103036627,2.61656607709718,52.3313215419436,2.83753405916745,0,500,498.046875,1.953125,2.83753405916745,2.82541773747555,-503.984054671123,0,2.83753405916745,0.236461171597287,2.83753405916745,0,21.2780609427569,13871,34,498.046875,-1.68043511590304,499.727310115903,498.046875,1,0,2,2,13871,0,0,13871,21.2780609427569,13871,0
0.523,499.669833265297,0.100136844422138,0.00500684222110689,2.61626512901116,52.3253025802232,2.83769972909254,0,500,498.046875,1.953125,2.83769972909254,2.82558340740065,-419.986712225935,0,2.83769972909254,0.236474977424378,2.83769972909254,0,21.3303885179128,13905,34,498.046875,-1.62295826529731,499.669833265297,498.046875,0,1,1,1,13905,0,0,13905,21.3303885179128,13905,0
0.524,499.666887844355,0.106832002422151,0.00534160012110754,2.61624970682317,52.3249941364634,2.83786539901763,0,500,498.046875,1.953125,2.83786539901763,2.82574907732574,-349.988926854946,0,2.83786539901763,0.236488783251469,2.83786539901763,0,21.3827133917671,13939,34,498.046875,-1.62001284435496,499.666887844355,498.046875,1,0,2,2,13939,0,0,13939,21.3827133917671,13939,0
0.525,499.684258088856,0.109330048263741,0.00546650241318703,2.61634065721069,52.3268131442139,2.83803106894272,0,500,498.046875,1.953125,2.83803106894272,2.82591474725083,-291.657439045789,0,2.83803106894272,0.23650258907856,2.83803106894272,0,21.4350391931807,13973,34,498.046875,-1.6373830888561,499.684258088856,498.046875,0,1,1,1,13973,0,0,13973,21.4350391931807,13973,0
0.526,499.709196201384,0.110264373457532,0.00551321867287662,2.61647123286255,52.329424657251,2.83819673886781,0,500,498.046875,1.953125,2.83819673886781,2.82608041717592,-243.04786587149,0,2.83819673886781,0.236516394905651,2.83819673886781,0,21.48736727404,14007,34,498.046875,-1.66232120138437,499.709196201384,498.046875,1,0,2,2,14007,0,0,14007,21.48736727404,14007,0
0.527,499.736952733685,0.110616104192959,0.00553080520964797,2.61661656572583,52.3323313145165,2.83836240879291,0,500,498.046875,1.953125,2.83836240879291,2.82624608710101,-202.539888226242,0,2.83836240879291,0.236530200732742,2.83836240879291,0,21.5396981378981,14041,34,498.046875,-1.69007773368548,499.736952733685,498.046875,0,1,1,1,14041,0,0,14041,21.5396981378981,14041,0
0.528,499.76575819304,0.110750779937938,0.00553753899689693,2.61676739075831,52.3353478151663,2.838528078718,0,500,498.046875,1.953125,2.838528078718,2.82641175702611,-168.783240188535,0,2.838528078718,0.236544006559833,2.838528078718,0,21.5920319722445,14075,34,498.046875,-1.7188831930402,499.76575819304,498.046875,1,0,2,2,14075,0,0,14075,21.5920319722445,14075,0
0.529,499.794953332577,0.110804590184763,0.00554022950923813,2.61692025615146,52.3384051230293,2.83869374864309,0,500,498.046875,1.953125,2.83869374864309,2.8265774269512,-140.652700157113,0,2.83869374864309,0.236557812386924,2.83869374864309,0,21.6443688468143,14109,34,498.046875,-1.74807833257728,499.794953332577,498.046875,0,1,1,1,14109,0,0,14109,21.6443688468143,14109,0
0.53,499.824292551007,0.110828275196129,0.00554141375980647,2.61707387593993,52.3414775187986,2.74798700587898,0,500,512.6953125,-12.6953125,2.74798700587898,2.82674309687629,2324.19566653574,0,2.74798700587898,0.228998917156582,2.74798700587898,0,21.6967087874725,14144,35,512.6953125,12.8710199489932,499.824292551007,512.6953125,0,0,0,0,14144,0,0,14144,21.6967087874725,14144,0
0.531,499.773981720911,0.0821783881300712,0.00410891940650356,2.61681044904955,52.3362089809911,2.83778256405509,0,500,498.046875,1.953125,2.83778256405509,2.82566624236319,-504.576527886883,0,2.83778256405509,0.236481880337924,2.83778256405509,0,21.7490488047177,14178,34,498.046875,-1.7271067209108,499.773981720911,498.046875,1,1,3,3,14178,0,0,14178,21.7490488047177,14178,0
0.532,499.716467846624,0.100138910216376,0.00500694551081882,2.61650930710799,52.3301861421598,2.83794823398018,0,500,498.046875,1.953125,2.83794823398018,2.82583191228828,-420.480439905736,0,2.83794823398018,0.236495686165015,2.83794823398018,0,21.8013812653697,14212,34,498.046875,-1.6695928466238,499.716467846624,498.046875,0,0,0,0,14212,0,0,14212,21.8013812653697,14212,0
0.533,499.713485904791,0.106834165153315,0.00534170825766577,2.61649369369706,52.3298738739413,2.83811390390527,0,500,498.046875,1.953125,2.83811390390527,2.82599758221338,-350.400366588114,0,2.83811390390527,0.236509491992106,2.83811390390527,0,21.8537110208694,14246,34,498.046875,-1.6666109047909,499.713485904791,498.046875,1,1,3,3,14246,0,0,14246,21.8537110208694,14246,0
0.534,499.730820124364,0.109332306615397,0.00546661533076984,2.61658445545851,52.3316891091701,2.83827957383036,0,500,498.046875,1.953125,2.83827957383036,2.82616325213847,-292.000305490095,0,2.83827957383036,0.236523297819197,2.83827957383036,0,21.9060417001299,14280,34,498.046875,-1.68394512436396,499.730820124364,498.046875,0,0,0,0,14280,0,0,14280,21.9060417001299,14280,0
0.535,499.75572270119,0.11026672613113,0.0055133363065565,2.61671484504586,52.3342969009172,2.83844524375545,0,500,498.046875,1.953125,2.83844524375545,2.82632892206356,-243.333587908412,0,2.83844524375545,0.236537103646288,2.83844524375545,0,21.9583746550894,14314,34,498.046875,-1.70884770119011,499.75572270119,498.046875,1,1,3,3,14314,0,0,14314,21.9583746550894,14314,0
0.536,499.783444180371,0.110618549907586,0.0055309274953793,2.61685999437143,52.3371998874286,2.83861091368055,0,500,498.046875,1.953125,2.83861091368055,2.82649459198865,-202.777989923677,0,2.83861091368055,0.236550909473379,2.83861091368055,0,22.0107103893516,14348,34,498.046875,-1.73656918037142,499.783444180371,498.046875,0,0,0,0,14348,0,0,14348,22.0107103893516,14348,0
0.537,499.812215062637,0.110753317430074,0.0055376658715037,2.61701063835871,52.3402127671741,2.83877658360564,0,500,498.046875,1.953125,2.83877658360564,2.82666026191374,-168.981658269731,0,2.83877658360564,0.23656471530047,2.83877658360564,0,22.0630490904563,14382,34,498.046875,-1.76534006263734,499.812215062637,498.046875,1,1,3,3,14382,0,0,14382,22.0630490904563,14382,0
0.538,499.841376094649,0.110807218208047,0.00554036091040238,2.61716332516527,52.3432665033054,2.83894225353073,0,500,498.046875,1.953125,2.83894225353073,2.82682593183884,-140.818048558109,0,2.83894225353073,0.236578521127561,2.83894225353073,0,22.1153908281882,14416,34,498.046875,-1.79450109464915,499.841376094649,498.046875,0,0,0,0,14416,0,0,14416,22.1153908281882,14416,0
0.539,499.870681668743,0.110830992521128,0.00554154962605641,2.61731676879241,52.3463353758482,2.74823551076662,0,500,512.6953125,-12.6953125,2.74823551076662,2.82699160176393,2324.05787620158,0,2.74823551076662,0.229019625897218,2.74823551076662,0,22.1677356284611,14451,35,512.6953125,12.8246308312571,499.870681668743,512.6953125,1,0,2,2,14451,0,0,14451,22.1677356284611,14451,0
0.54,499.820337651208,0.0821811935440477,0.00410905967720239,2.61705316813301,52.3410633626601,2.83803106894273,0,500,498.046875,1.953125,2.83803106894273,2.82591474725083,-504.691353165354,0,2.83803106894273,0.23650258907856,2.83803106894273,0,22.2200805018217,14485,34,498.046875,-1.77346265120764,499.820337651208,498.046875,0,1,1,1,14485,0,0,14485,22.2200805018217,14485,0
0.541,499.762791040175,0.100141802523062,0.00500709012615309,2.61675185478224,52.3350370956448,2.83819673886782,0,500,498.046875,1.953125,2.83819673886782,2.82608041717592,-420.576127637795,0,2.83819673886782,0.236516394905651,2.83819673886782,-4.44089209850063e-16,22.2724178151374,14519,34,498.046875,-1.71591604017522,499.762791040175,498.046875,1,0,2,2,14519,0,0,14519,22.2724178151374,14519,0
0.542,499.759776806168,0.106837143172687,0.00534185715863435,2.61673607228989,52.3347214457977,2.83836240879291,0,500,498.046875,1.953125,2.83836240879291,2.82624608710102,-350.480106364829,0,2.83836240879291,0.236530200732742,2.83836240879291,0,22.3247524198958,14553,34,498.046875,-1.71290180616768,499.759776806168,498.046875,0,1,1,1,14553,0,0,14553,22.3247524198958,14553,0
0.543,499.777079172102,0.109335369183459,0.00546676845917293,2.61682666726607,52.3365333453213,2.838528078718,0,500,498.046875,1.953125,2.838528078718,2.82641175702611,-292.066755304024,0,2.838528078718,0.236544006559833,2.838528078718,-4.44089209850063e-16,22.3770879450565,14587,34,498.046875,-1.73020417210216,499.777079172102,498.046875,1,0,2,2,14587,0,0,14587,22.3770879450565,14587,0
0.544,499.801950327869,0.11026987209969,0.00551349360498449,2.61695689233314,52.3391378466628,2.83869374864309,0,500,498.046875,1.953125,2.83869374864309,2.8265774269512,-243.388962753353,0,2.83869374864309,0.236557812386924,2.83869374864309,0,22.4294257426032,14621,34,498.046875,-1.75507532786946,499.801950327869,498.046875,0,1,1,1,14621,0,0,14621,22.4294257426032,14621,0
0.545,499.829640812698,0.110621778144046,0.00553108890720228,2.61710187937266,52.3420375874533,2.83885941856818,0,500,498.046875,1.953125,2.83885941856818,2.82674309687629,-202.824135627795,0,2.83885941856818,0.236571618214015,2.83885941856818,-4.44089209850063e-16,22.4817663161845,14655,34,498.046875,-1.78276581269824,499.829640812698,498.046875,1,0,2,2,14655,0,0,14655,22.4817663161845,14655,0
0.546,499.858381121521,0.110756626817216,0.00553783134086081,2.61725236327776,52.3450472655552,2.83902508849328,0,500,498.046875,1.953125,2.83902508849328,2.82690876680138,-169.020113023162,0,2.83902508849328,0.236585424041106,2.83902508849328,0,22.5341098533848,14689,34,498.046875,-1.81150612152055,499.858381121521,498.046875,0,1,1,1,14689,0,0,14689,22.5341098533848,14689,0
0.547,499.887511995284,0.110810607643828,0.00554053038219138,2.61740489217611,52.3480978435221,2.74831834572917,0,500,512.6953125,-12.6953125,2.74831834572917,2.82707443672647,2300.55615581403,0,2.74831834572917,0.229026528810764,2.74831834572917,0,22.5864564240324,14724,35,512.6953125,12.8078005047158,499.887511995284,512.6953125,0,0,0,0,14724,0,0,14724,22.5864564240324,14724,0
0.548,499.837085182266,0.0821721097481268,0.00410860548740634,2.61714085800057,52.3428171600115,2.83811390390527,0,500,498.046875,1.953125,2.83811390390527,2.82599758221338,-524.276120154974,0,2.83811390390527,0.236509491992106,2.83811390390527,0,22.6388030550613,14758,34,498.046875,-1.79021018226649,499.837085182266,498.046875,1,1,3,3,14758,0,0,14758,22.6388030550613,14758,0
0.549,499.779490257331,0.100136975547864,0.00500684877739319,2.6168392916788,52.3367858335761,2.83827957383036,0,500,498.046875,1.953125,2.83827957383036,2.82616325213847,-436.896766795811,0,2.83827957383036,0.236523297819197,2.83827957383036,0,22.6911421194697,14792,34,498.046875,-1.73261525733091,499.779490257331,498.046875,0,0,0,0,14792,0,0,14792,22.6911421194697,14792,0
0.55,499.776440793471,0.106833947898906,0.00534169739494529,2.61682332472337,52.3364664944674,2.83844524375546,0,500,498.046875,1.953125,2.83844524375546,2.82632892206356,-364.080638996509,0,2.83844524375546,0.236537103646288,2.83844524375546,0,22.7434784710542,14826,34,498.046875,-1.72956579347084,499.776440793471,498.046875,1,1,3,3,14826,0,0,14826,22.7434784710542,14826,0
