time_s,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad
0.800091,0,1,1,1,93237,0,0,93237,143.024789731994
0.800092,0,1,1,1,93237,0,0,93237,143.024999169677
0.800093,0,1,1,1,93237,0,0,93237,143.025208607365
0.800094,1,1,3,1,93238,1,0,93238,143.025418045057
0.800095,1,1,3,3,93238,0,0,93238,143.025627482753
0.800096,1,1,3,3,93238,0,0,93238,143.025836920455
0.800097,1,1,3,3,93238,0,0,93238,143.02604635816
0.800098,1,1,3,3,93238,0,0,93238,143.02625579587
0.800099,1,1,3,3,93238,0,0,93238,143.026465233584
0.8001,1,1,3,3,93238,0,0,93238,143.026674671303
