time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V
0.5588,1999.26982397362,0.421221168874231,0.0210610584437115,10.4681523192321,209.363046384643,11.3105228912487,0,2000,1999.26023251334,0.73976748665973,11.3105228912487,11.3059337016958,13.2331007396336,0
0.55885,1999.27041940058,0.421219380512219,0.0210609690256109,10.4681554368804,209.363108737608,11.3105228912487,0,2000,1999.26023251334,0.73976748665973,11.3105228912487,11.3059337016958,13.2331007396336,0
0.5589,1999.27101437218,0.421217603374242,0.0210608801687121,10.4681585521444,209.363171042889,11.3105228912487,0,2000,1999.26023251334,0.73976748665973,11.3105228912487,11.3059337016958,13.2331007396336,0
0.55895,1999.27160889108,0.421215836970866,0.0210607918485433,10.4681616650381,209.363233300762,11.3105228912487,0,2000,1999.26023251334,0.73976748665973,11.3105228912487,11.3059337016958,13.2331007396336,0
0.559,1999.27220295981,0.421214080836196,0.0210607040418098,10.4681647755747,209.363295511494,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55905,1999.27279654699,0.421212053852455,0.0210606026926227,10.4681678835899,209.363357671798,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.5591,1999.27338962338,0.421210049968971,0.0210605024984485,10.4681709889306,209.363419778612,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55915,1999.27398219439,0.421208068124,0.0210604034062,10.4681740916252,209.363481832503,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.5592,1999.27457426518,0.421206107306903,0.0210603053653452,10.4681771917006,209.363543834011,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55925,1999.27516584068,0.421204166555688,0.0210602083277844,10.4681802891827,209.363605783653,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.5593,1999.2757569256,0.421202244954663,0.0210601122477332,10.4681833840961,209.363667681921,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55935,1999.27634752443,0.421200341632211,0.0210600170816105,10.4681864764643,209.363729529286,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.5594,1999.27693764145,0.421198455758659,0.021059922787933,10.4681895663098,209.363791326196,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55945,1999.27752728077,0.421196586544268,0.0210598293272134,10.468192653654,209.363853073081,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.5595,1999.27811644628,0.421194733237302,0.0210597366618651,10.4681957385175,209.363914770349,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55955,1999.27870514174,0.421192895122198,0.0210596447561099,10.4681988209197,209.363976418393,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.5596,1999.27929337069,0.421191071517829,0.0210595535758914,10.4682019008793,209.364038017585,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55965,1999.27988113656,0.421189261775837,0.0210594630887919,10.4682049784142,209.364099568284,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.5597,1999.28046844261,0.421187465279064,0.0210593732639532,10.4682080535414,209.364161070829,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55975,1999.28105529194,0.421185681440042,0.0210592840720021,10.4682111262773,209.364222525547,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.5598,1999.28164168753,0.421183909699566,0.0210591954849783,10.4682141966375,209.36428393275,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55985,1999.28222763223,0.421182149525331,0.0210591074762665,10.4682172646368,209.364345292736,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.5599,1999.28281312877,0.421180400410639,0.0210590200205319,10.4682203302895,209.36440660579,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.55995,1999.28339817975,0.421178661873162,0.0210589330936581,10.4682233936092,209.364467872184,11.310511381204,0,2000,1999.27220295981,0.727797040194673,11.310511381204,11.3059964509946,13.0226583605374,0
0.56,1999.28398278765,0.421176933453773,0.0210588466726887,10.4682264546091,209.364529092181,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56005,1999.28456692158,0.421174938116972,0.0210587469058486,10.4682295131272,209.364590262543,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.5601,1999.2851505527,0.421172965543475,0.0210586482771738,10.4682325690126,209.364651380251,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56015,1999.28573368635,0.421171014686958,0.0210585507343479,10.4682356222932,209.364712445864,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.5602,1999.28631632761,0.421169084551457,0.0210584542275728,10.4682386729957,209.364773459914,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56025,1999.28689848135,0.42116717418895,0.0210583587094475,10.4682417211456,209.364834422911,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.5603,1999.2874801522,0.421165282697045,0.0210582641348522,10.468244766767,209.36489533534,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56035,1999.28806134458,0.421163409216779,0.021058170460839,10.4682478098832,209.364956197663,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.5604,1999.28864206272,0.421161552930532,0.0210580776465266,10.4682508505162,209.365017010325,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56045,1999.28922231065,0.421159713060032,0.0210579856530016,10.4682538886873,209.365077773747,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.5605,1999.28980209224,0.421157888864459,0.021057894443223,10.4682569244166,209.365138488332,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56055,1999.29038141115,0.421156079638644,0.0210578039819322,10.4682599577233,209.365199154466,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.5606,1999.2909602709,0.421154284711349,0.0210577142355675,10.4682629886259,209.365259772518,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56065,1999.29153867486,0.421152503443635,0.0210576251721818,10.468266017142,209.365320342839,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.5607,1999.29211662624,0.421150735227305,0.0210575367613652,10.4682690432883,209.365380865766,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56075,1999.29269412809,0.421148979483422,0.0210574489741711,10.4682720670809,209.365441341619,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.5608,1999.29327118337,0.421147235660903,0.0210573617830452,10.4682750885353,209.365501770706,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56085,1999.29384779487,0.421145503235175,0.0210572751617587,10.468278107666,209.365562153321,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.5609,1999.29442396527,0.421143781706897,0.0210571890853448,10.4682811244872,209.365622489744,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.56095,1999.29499969714,0.421142070600747,0.0210571035300374,10.4682841390122,209.365682780245,11.3105000383035,0,2000,1999.28398278765,0.716017212347424,11.3105000383035,11.3060581849241,12.8155199416561,0
0.561,1999.29557499294,0.421140369464265,0.0210570184732133,10.468287151254,209.36574302508,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.56105,1999.29614982221,0.42113840528519,0.0210569202642595,10.468290161053,209.36580322106,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.5611,1999.29672415653,0.421136463537362,0.0210568231768681,10.4682931682605,209.36586336521,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.56115,1999.29729800117,0.421134543189649,0.0210567271594825,10.468296172904,209.365923458079,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
0.5612,1999.29787136113,0.421132643260556,0.0210566321630278,10.4682991750097,209.365983500194,11.3104888601299,0,2000,1999.29557499294,0.70442500706281,11.3104888601299,11.3061189196533,12.6116341654825,0
