bandwidth_rad_s,Kp,Ki,max_pole_magnitude,worst_settling_s,worst_overshoot_pct,sampled_peak_current_A
8,0.00330856357666633,0.045238934211693,0.99185079859957,0.483,0,3.24982667685317
15,0.00620355670624938,0.0848230016469244,0.98564525813432,0.257,1.67819449448103e-06,5.73448494342025
25,0.0103392611770823,0.141371669411541,0.986214166356374,0.231,0.00341059376651742,5.73448494342025
