time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V
0.5716,2120.34628456318,0.449008817770979,0.0224504408885489,11.1021071844168,222.042143688336,12,0,3000,2120.33211879447,879.667881205532,15.7236834643033,10.2666138805786,25.6339452440144,-3.72368346430333
0.57165,2120.34745980643,0.449005698338453,0.0224502849169227,11.1021133379761,222.042266759522,12,0,3000,2120.33211879447,879.667881205532,15.7236834643033,10.2666138805786,25.6339452440144,-3.72368346430333
0.5717,2120.34863424648,0.449002581037843,0.0224501290518922,11.1021194873298,222.042389746597,12,0,3000,2120.33211879447,879.667881205532,15.7236834643033,10.2666138805786,25.6339452440144,-3.72368346430333
0.57175,2120.34980788389,0.448999465867692,0.0224499732933846,11.1021256324809,222.042512649618,12,0,3000,2120.33211879447,879.667881205532,15.7236834643033,10.2666138805786,25.6339452440144,-3.72368346430333
0.5718,2120.35098071919,0.448996352826543,0.0224498176413272,11.1021317734322,222.042635468644,12,0,3000,2120.33211879447,879.667881205532,15.7236834643033,10.2666138805786,25.6339452440144,-3.72368346430333
0.57185,2120.35215275295,0.448993241912942,0.0224496620956471,11.1021379101866,222.042758203732,12,0,3000,2120.33211879447,879.667881205532,15.7236834643033,10.2666138805786,25.6339452440144,-3.72368346430333
0.5719,2120.35332398569,0.448990133125435,0.0224495066562717,11.1021440427469,222.042880854939,12,0,3000,2120.33211879447,879.667881205532,15.7236834643033,10.2666138805786,25.6339452440144,-3.72368346430333
0.57195,2120.35449441799,0.448987026462568,0.0224493513231284,11.1021501711161,222.043003422322,12,0,3000,2120.33211879447,879.667881205532,15.7236834643033,10.2666138805786,25.6339452440144,-3.72368346430333
0.572,2120.35566405037,0.44898392192289,0.0224491960961445,11.1021562952969,222.043125905939,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.57205,2120.35683288339,0.448980819504949,0.0224490409752475,11.1021624152923,222.043248305846,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.5721,2120.3580009176,0.448977719207296,0.0224488859603648,11.1021685311051,222.043370622102,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.57215,2120.35916815353,0.448974621028481,0.022448731051424,11.1021746427382,222.043492854764,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.5722,2120.36033459174,0.448971524967056,0.0224485762483528,11.1021807501944,222.043615003887,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.57225,2120.36150023277,0.448968431021575,0.0224484215510787,11.1021868534765,222.043737069531,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
0.5723,2120.36266507717,0.44896533919059,0.0224482669595295,11.1021929525875,222.04385905175,12,0,3000,2120.35566405037,879.644335949627,15.7236798008233,10.2667562814287,25.2858303541773,-3.72367980082334
