time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V
0.53635,2119.28135147744,0.451835455494374,0.0225917727747187,11.0965312078189,221.930624156379,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.5364,2119.28325452858,0.451830404251055,0.0225915202125528,11.0965411721714,221.930823443428,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.53645,2119.28515627911,0.451825356459911,0.0225912678229956,11.0965511297139,221.931022594278,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.5365,2119.28705672993,0.451820312118583,0.0225910156059291,11.0965610804511,221.931221609023,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.53655,2119.28895588192,0.451815271224711,0.0225907635612356,11.0965710243877,221.931420487754,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.5366,2119.29085373597,0.451810233775941,0.0225905116887971,11.0965809615283,221.931619230566,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.53665,2119.29275029298,0.451805199769918,0.0225902599884959,11.0965908918775,221.931817837551,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.5367,2119.29464555382,0.451800169204288,0.0225900084602144,11.0966008154401,221.932016308802,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.53675,2119.29653951937,0.451795142076701,0.0225897571038351,11.0966107322206,221.932214644411,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.5368,2119.29843219054,0.451790118384807,0.0225895059192404,11.0966206422236,221.932412844472,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.53685,2119.30032356819,0.451785098126258,0.0225892549063129,11.0966305454538,221.932610909077,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
0.5369,2119.30221365322,0.451780081298707,0.0225890040649354,11.0966404419159,221.932808838318,12,0,3000,2119.26799362779,880.732006372211,55.0748013602739,49.6111304157351,41.3669581548345,-43.0748013602739
