time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad,ideal_encoder_count_phase5a,count_difference_vs_phase5a
0.524,1499.18150271138,0.328274304965391,0.0164137152482696,7.84969599219296,156.993919843859,8.42396630880182,0,1500,1508.7890625,-8.7890625,8.42396630880182,8.47848975641534,1771.27879500011,0,8.42396630880182,0.701997192400152,8.42396630880182,0,64.146590489043,41817,103,1508.7890625,9.60755978862016,1499.18150271138,1508.7890625,0,1,1,0,41817,1,0,41817,64.146590489043,41817,0
0.525,1499.17740404949,0.302257042699086,0.0151128521349543,7.84967453164947,156.993490632989,8.51409320682811,0,1500,1494.140625,5.859375,8.51409320682811,8.47774424175243,-965.340587499907,0,8.51409320682811,0.709507767235676,8.51409320682811,0,64.3035852608359,41919,102,1494.140625,-5.0367790494854,1499.17740404949,1494.140625,1,0,2,2,41919,0,0,41919,64.3035852608359,41919,0
0.526,1499.17405939641,0.321205604753568,0.0160602802376784,7.84965701908694,156.993140381739,8.51459021660338,0,1500,1494.140625,5.859375,8.51459021660338,8.4782412515277,-804.450489583256,0,8.51459021660338,0.709549184716949,8.51459021660338,0,64.4605777994972,42021,102,1494.140625,-5.03343439641412,1499.17405939641,1494.140625,0,1,1,1,42021,0,0,42021,64.4605777994972,42021,0
0.527,1499.228208686,0.328276181261395,0.0164138090630698,7.84994054410419,156.998810882084,8.42421481368946,0,1500,1508.7890625,-8.7890625,8.42421481368946,8.47873826130298,1771.03084201395,0,8.42421481368946,0.702017901140788,8.42421481368946,0,64.6175734858343,42124,103,1508.7890625,9.56085381400248,1499.228208686,1508.7890625,0,0,0,0,42124,0,0,42124,64.6175734858343,42124,0
0.528,1499.22407253368,0.302259018505421,0.015112950925271,7.8499188872613,156.998377745226,8.51434171171575,0,1500,1494.140625,5.859375,8.51434171171575,8.47799274664007,-965.547214988372,0,8.51434171171575,0.709528475976312,8.51434171171575,0,64.7745731466978,42226,102,1494.140625,-5.08344753368033,1499.22407253368,1494.140625,1,1,3,3,42226,0,0,42226,64.7745731466978,42226,0
0.529,1499.22069089931,0.321207678718865,0.0160603839359433,7.84990118106514,156.998023621303,8.51483872149102,0,1500,1494.140625,5.859375,8.51483872149102,8.47848975641534,-804.622679156977,0,8.51483872149102,0.709569893457585,8.51483872149102,-1.77635683940025e-15,64.9315705705308,42328,102,1494.140625,-5.08006589931006,1499.22069089931,1494.140625,0,0,0,0,42328,0,0,42328,64.9315705705308,42328,0
0.53,1499.27480370981,0.32827835205264,0.016413917602632,7.85018451507836,157.003690301567,8.4244633185771,0,1500,1508.7890625,-8.7890625,8.4244633185771,8.47898676619062,1770.88735070252,0,8.4244633185771,0.702038609881425,8.4244633185771,0,65.0885711381934,42431,103,1508.7890625,9.51425879019075,1499.27480370981,1508.7890625,1,0,2,2,42431,0,0,42431,65.0885711381934,42431,0
0.531,1499.2706315738,0.302261284807693,0.0151130642403847,7.8501626698253,157.003253396506,8.51459021660339,0,1500,1494.140625,5.859375,8.51459021660339,8.47824125152771,-965.666791081234,0,8.51459021660339,0.709549184716949,8.51459021660339,0,65.245575676588,42533,102,1494.140625,-5.13000657380098,1499.2706315738,1494.140625,0,1,1,1,42533,0,0,42533,65.245575676588,42533,0
0.532,1499.26721444441,0.321210039235107,0.0160605019617553,7.85014477777765,157.002895555553,8.51508722637866,0,1500,1494.140625,5.859375,8.51508722637866,8.47873826130298,-804.722325901028,0,8.51508722637866,0.709590602198222,8.51508722637866,0,65.4025779742093,42635,102,1494.140625,-5.12658944440909,1499.26721444441,1494.140625,1,0,2,2,42635,0,0,42635,65.4025779742093,42635,0
0.533,1499.32129224191,0.328280805503406,0.0164140402751703,7.85042792846324,157.008558569265,8.42471182346474,0,1500,1508.7890625,-8.7890625,8.42471182346474,8.47923527107826,1770.80431174914,0,8.42471182346474,0.702059318622061,8.42471182346474,0,65.5595834119686,42738,103,1508.7890625,9.46777025808956,1499.32129224191,1508.7890625,1,1,3,3,42738,0,0,42738,65.5595834119686,42738,0
0.534,1499.31708556839,0.302263829930915,0.0151131914965458,7.85040590237219,157.008118047444,8.51483872149102,0,1500,1494.140625,5.859375,8.51483872149102,8.47848975641534,-965.735990209047,0,8.51483872149102,0.709569893457585,8.51483872149102,0,65.7165928168181,42840,102,1494.140625,-5.17646056838976,1499.31708556839,1494.140625,0,0,0,0,42840,0,0,42840,65.7165928168181,42840,0
0.535,1499.31363437051,0.321212674785857,0.0160606337392928,7.85038783194236,157.007756638847,8.5153357312663,0,1500,1494.140625,5.859375,8.5153357312663,8.47898676619062,-804.779991840873,0,8.5153357312663,0.709611310938858,8.5153357312663,-1.77635683940025e-15,65.8735999773026,42942,102,1494.140625,-5.17300937051209,1499.31363437051,1494.140625,1,1,3,3,42942,0,0,42942,65.8735999773026,42942,0
0.536,1499.36767856219,0.328283530253655,0.0164141765126827,7.85067080666825,157.013416133365,8.42496032835238,0,1500,1508.7890625,-8.7890625,8.42496032835238,8.47948377596589,1770.75625679927,0,8.42496032835238,0.702080027362698,8.42496032835238,0,66.0306102743811,43045,103,1508.7890625,9.42138393781283,1499.36767856219,1508.7890625,0,1,1,1,43045,0,0,43045,66.0306102743811,43045,0
0.537,1499.36343873922,0.302266642669309,0.0151133321334654,7.85064860700711,157.012972140142,8.51508722637866,0,1500,1494.140625,5.859375,8.51508722637866,8.47873826130298,-965.776036000606,0,8.51508722637866,0.709590602198222,8.51508722637866,0,66.1876245350556,43147,102,1494.140625,-5.22281373922124,1499.36343873922,1494.140625,1,0,2,2,43147,0,0,43147,66.1876245350556,43147,0
0.538,1499.35995484207,0.321215574317488,0.0160607787158744,7.8506303653643,157.012607307286,8.51558423615394,0,1500,1494.140625,5.859375,8.51558423615394,8.47923527107826,-804.813363333839,0,8.51558423615394,0.709632019679495,8.51558423615394,0,66.3446365479167,43249,102,1494.140625,-5.21932984207183,1499.35995484207,1494.140625,0,1,1,1,43249,0,0,43249,66.3446365479167,43249,0
0.539,1499.41396677854,0.32828651539985,0.0164143257699925,7.85091317120234,157.018263424047,8.42520883324001,0,1500,1508.7890625,-8.7890625,8.42520883324001,8.47973228085353,1770.7284472218,0,8.42520883324001,0.702100736103334,8.42520883324001,0,66.5016516939713,43352,103,1508.7890625,9.37509572145564,1499.41396677854,1508.7890625,0,0,0,0,43352,0,0,43352,66.5016516939713,43352,0
0.54,1499.4096951384,0.302269712267409,0.0151134856133705,7.85089080494684,157.017816098937,8.5153357312663,0,1500,1494.140625,5.859375,8.5153357312663,8.47898676619062,-965.799210648499,0,8.5153357312663,0.709611310938858,8.5153357312663,0,66.6586708002667,43454,102,1494.140625,-5.26907013839809,1499.4096951384,1494.140625,1,1,3,3,43454,0,0,43454,66.6586708002667,43454,0
0.541,1499.40617985616,0.321218727220617,0.0160609363610309,7.85087239897209,157.017447979442,8.42496032835238,0,1500,1508.7890625,-8.7890625,8.42496032835238,8.4794837759659,1636.57357445958,0,8.42496032835238,0.702080027362698,8.42496032835238,0,66.8156876554395,43557,103,1508.7890625,9.38288264383823,1499.40617985616,1508.7890625,0,1,1,0,43557,1,0,43557,66.8156876554395,43557,0
0.542,1499.38045819534,0.299627399306365,0.0149813699653183,7.85073772067095,157.014754413419,8.51508722637866,0,1500,1494.140625,5.859375,8.51508722637866,8.47873826130298,-1077.59493795035,0,8.51508722637866,0.709590602198222,8.51508722637866,0,66.9727046415188,43659,102,1494.140625,-5.23983319533818,1499.38045819534,1494.140625,1,0,2,2,43659,0,0,43659,66.9727046415188,43659,0
0.543,1499.36893445405,0.320225264119285,0.0160112632059643,7.85067738250265,157.013547650053,8.51558423615394,0,1500,1494.140625,5.859375,8.51558423615394,8.47923527107826,-897.995781625289,0,8.51558423615394,0.709632019679495,8.51558423615394,0,67.1297179480041,43761,102,1494.140625,-5.22830945404735,1499.36893445405,1494.140625,0,1,1,1,43761,0,0,43761,67.1297179480041,43761,0
