passed,max_abs_rpm,rms_rpm,final_difference_rpm,limit_rpm,max_abs_current_A,rms_current_A,final_difference_current_A,limit_current_A,max_abs_torque_Nm,rms_torque_Nm,final_difference_torque_Nm,limit_torque_Nm,max_abs_back_emf_V,rms_back_emf_V,final_difference_back_emf_V,limit_back_emf_V,max_abs_omega_rad_s,rms_omega_rad_s,final_difference_omega_rad_s,limit_omega_rad_s,max_abs_voltage_V,rms_voltage_V,final_difference_voltage_V,limit_voltage_V,max_abs_load_Nm,rms_load_Nm,final_difference_load_Nm,limit_load_Nm,max_abs_reference_rpm,rms_reference_rpm,final_difference_reference_rpm,limit_reference_rpm,max_abs_measured_rpm,rms_measured_rpm,final_difference_measured_rpm,limit_measured_rpm,max_abs_error_rpm,rms_error_rpm,final_difference_error_rpm,limit_error_rpm,max_abs_raw_voltage_V,rms_raw_voltage_V,final_difference_raw_voltage_V,limit_raw_voltage_V,max_abs_integrator_V,rms_integrator_V,final_difference_integrator_V,limit_integrator_V,max_abs_derivative_rpm_s,rms_derivative_rpm_s,final_difference_derivative_rpm_s,limit_derivative_rpm_s,max_abs_aw_error_V,rms_aw_error_V,final_difference_aw_error_V,limit_aw_error_V,max_abs_voltage_command_sat_V,rms_voltage_command_sat_V,final_difference_voltage_command_sat_V,limit_voltage_command_sat_V,max_abs_duty_cycle,rms_duty_cycle,final_difference_duty_cycle,limit_duty_cycle,max_abs_voltage_avg_V,rms_voltage_avg_V,final_difference_voltage_avg_V,limit_voltage_avg_V,max_abs_pwm_error_V,rms_pwm_error_V,final_difference_pwm_error_V,limit_pwm_error_V,max_abs_shaft_angle_rad,rms_shaft_angle_rad,final_difference_shaft_angle_rad,limit_shaft_angle_rad,max_abs_encoder_count,rms_encoder_count,final_difference_encoder_count,limit_encoder_count,max_abs_encoder_delta_count,rms_encoder_delta_count,final_difference_encoder_delta_count,limit_encoder_delta_count,max_abs_encoder_rpm,rms_encoder_rpm,final_difference_encoder_rpm,limit_encoder_rpm,max_abs_encoder_rpm_error,rms_encoder_rpm_error,final_difference_encoder_rpm_error,limit_encoder_rpm_error,max_abs_true_rpm,rms_true_rpm,final_difference_true_rpm,limit_true_rpm,max_abs_feedback_rpm,rms_feedback_rpm,final_difference_feedback_rpm,limit_feedback_rpm,target_rpm
1,0,0,0,0.00100026437681195,0,0,0,3.12908152680961e-06,0,0,0,2.51454076340481e-07,0,0,0,5.33684843095773e-06,0,0,0,0.000104836968619155,0,0,0,6.47320270954322e-06,0,0,0,1e-07,0,0,0,0.0010001,0,0,0,0.001025490625,0,0,0,0.0010001,0,0,0,6.47320270954322e-06,0,0,0,5.75613691255418e-06,0,0,0,0.0168627446407306,0,0,0,1e-07,0,0,0,6.47320270954322e-06,0,0,0,6.31100225795269e-07,0,0,0,6.47320270954322e-06,0,0,0,1.00000000000001e-07,0,0,0,9.27086896529478e-05,0,0,0,0.0603701,0,0,0,7.01e-05,0,0,0,0.001025490625,0,0,0,2.99830227695446e-05,0,0,0,0.00100026437681195,0,0,0,0.001025490625,500
1,0,0,0,0.00200021000841163,0,0,0,6.11892875296659e-06,0,0,0,4.00946437648329e-07,0,0,0,1.05725515146624e-05,0,0,0,0.000209551030293247,0,0,0,1.28464054190865e-05,0,0,0,1e-07,0,0,0,0.0020001,0,0,0,0.002021584375,0,0,0,0.0020001,0,0,0,1.28464054190865e-05,0,0,0,1.14109484657076e-05,0,0,0,0.0282633786914891,0,0,0,1e-07,0,0,0,1.28464054190865e-05,0,0,0,1.16220045159054e-06,0,0,0,1.28464054190865e-05,0,0,0,1.00000000000002e-07,0,0,0,0.000185315903815903,0,0,0,0.1207401,0,0,0,0.0001381,0,0,0,0.002021584375,0,0,0,3.87421199786435e-05,0,0,0,0.00200021000841163,0,0,0,0.002021584375,1000
1,0,0,0,0.0030001965456435,0,0,0,9.16429760088037e-06,0,0,0,5.53214880044018e-07,0,0,0,1.58084687797562e-05,0,0,0,0.000314269375595124,0,0,0,1.91081024339373e-05,0,0,0,1e-07,0,0,0,0.0030001,0,0,0,0.003017678125,0,0,0,0.0030001,0,0,0,1.91081024339373e-05,0,0,0,1.7065925688786e-05,0,0,0,0.0395670057574385,0,0,0,1e-07,0,0,0,1.91081024339373e-05,0,0,0,1.68400853616144e-06,0,0,0,1.91081024339373e-05,0,0,0,1.00000000000004e-07,0,0,0,0.00027792293710277,0,0,0,0.1811121,0,0,0,0.0002061,0,0,0,0.003017678125,0,0,0,4.44963953421709e-05,0,0,0,0.0030001965456435,0,0,0,0.003017678125,1500
1,0,0,0,0.00400020540953392,0,0,0,1.15689698868023e-05,0,0,0,6.73448494340115e-07,0,0,0,2.10445029469609e-05,0,0,0,0.000418990058939218,0,0,0,2.41e-05,0,0,0,1e-07,0,0,0,0.0040001,0,0,0,0.004013771875,0,0,0,0.0040001,0,0,0,2.53720367903928e-05,0,0,0,2.27207278099165e-05,0,0,0,0.0489790315485496,0,0,0,1.37203679039285e-06,0,0,0,2.41e-05,0,0,0,2.1e-06,0,0,0,2.41e-05,0,0,0,1.00000000000004e-07,0,0,0,0.000369887131505761,0,0,0,0.2410621,0,0,0,0.0002741,0,0,0,0.004013771875,0,0,0,4.71114477645147e-05,0,0,0,0.00400020540953392,0,0,0,0.004013771875,2000
