target_rpm,rise_time_s,overshoot_pct,settling_time_s,steady_error_rpm,tail_max_error_rpm,max_current_A,min_current_A,max_abs_current_A,max_voltage_V,min_voltage_V,max_abs_integrator_V,saturation_occurred,saturation_duration_s,all_signals_finite,true_rpm_tail_ripple,encoder_max_abs_error_rpm,encoder_rms_error_rpm,encoder_mean_error_rpm,encoder_tail_ripple_rpm,encoder_tail_rms_error_rpm,encoder_tail_mean_error_rpm,delta_count_min,delta_count_max,tail_counts_per_window,expected_counts_per_window,tail_delta_count_min,tail_delta_count_max,rpm_per_count,encoder_ppr,encoder_cpr,Tenc_s,min_duty,max_duty,duty_tail_ripple,saturation_percentage,window_quantization_max_error_rpm,max_local_count_difference,final_local_count_difference,rms_local_count_difference,max_edge_count_difference,invalid_transition_count,max_counts_per_edge_tick,Tedge_s
500,0.1418460908632,0.0168427404945826,0.251901,-0.000330406083719481,0.0821884059769786,1.51467629841246,0,1.51467629841246,3.18660135477161,0,2.82806845627709,0,0,1,0.141499810117239,14.9415113847728,5.1090926039727,-0.260567157573577,14.6484375,4.96945445881456,0.0142451536178751,0,35,34.134328358209,34.1333333333333,34,35,14.6484375,1024,4096,0.001,0,0.265550112897634,0.00757270105743554,0,13.9255423939451,0,0,0,0,0,0.0341390823195979,1e-06
1000,0.141789260137759,0.00617699632010638,0.252225,5.6970276091306e-05,0.0589277918895732,3.010127607626,0,3.010127607626,6.37320270954323,0,5.6554742328538,0,0,1,0.113931997706914,19.3210599893246,6.09018300442104,-0.514102372096731,14.6484375,6.43573346862553,-0.0436697088285147,0,69,68.2636815920398,68.2666666666667,68,69,14.6484375,1024,4096,0.001,0,0.531100225795269,0.00757270105743779,0,13.643571217722,0,0,0,0,0,0.0682708835010999,1e-06
1500,0.141809754210661,0.00408756531105059,0.252106,0.00324959195654628,0.0482728217286876,4.53411594075816,0,4.53411594075816,9.50405121696864,0,8.48296284439298,0,0,1,0.0939654549763418,22.1981976710966,6.63184211195756,-0.752134959484893,14.6484375,7.17225972751711,0.0469762710613101,0,103,102.402985074627,102.4,102,103,14.6484375,1024,4096,0.001,0,0.79200426808072,0.00757270105743879,0,13.3157082126484,0,0,0,0,0,0.10240418567264,1e-06
2000,0.144008738694623,0.00322908411101164,0.25582,0.00326844647338476,0.052704766968418,5.74289654603073,0,5.74289654603073,12,0,11.3103639049583,1,0.042,1,0.0994082553186217,23.5057238822428,7.02838768051725,-1.01162810011331,14.6484375,7.30088926359413,-0.0113071132283125,0,137,136.532338308458,136.533333333333,136,137,14.6484375,1024,4096,0.001,0,1,0.00757270105743513,4.2,14.2798379957703,0,0,0,0,0,0.136537742131623,1e-06
