time_s,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad
0.800001,1,0,2,2,23359,0,0,23359,35.8324180782146
0.800002,1,0,2,2,23359,0,0,23359,35.8324704451103
0.800003,1,0,2,2,23359,0,0,23359,35.832522812009
0.800004,1,0,2,2,23359,0,0,23359,35.8325751789106
0.800005,1,0,2,2,23359,0,0,23359,35.8326275458152
0.800006,1,0,2,2,23359,0,0,23359,35.8326799127227
0.800007,1,0,2,2,23359,0,0,23359,35.8327322796331
0.800008,1,0,2,2,23359,0,0,23359,35.8327846465464
0.800009,1,0,2,2,23359,0,0,23359,35.8328370134625
0.80001,1,0,2,2,23359,0,0,23359,35.8328893803815
0.800011,1,0,2,2,23359,0,0,23359,35.8329417473032
0.800012,1,0,2,2,23359,0,0,23359,35.8329941142278
0.800013,1,0,2,2,23359,0,0,23359,35.8330464811551
0.800014,1,0,2,2,23359,0,0,23359,35.8330988480851
0.800015,1,0,2,2,23359,0,0,23359,35.8331512150179
0.800016,1,0,2,2,23359,0,0,23359,35.8332035819533
0.800017,1,0,2,2,23359,0,0,23359,35.8332559488914
0.800018,1,0,2,2,23359,0,0,23359,35.8333083158322
0.800019,1,0,2,2,23359,0,0,23359,35.8333606827756
0.80002,1,0,2,2,23359,0,0,23359,35.8334130497216
0.800021,1,0,2,2,23359,0,0,23359,35.8334654166702
0.800022,1,0,2,2,23359,0,0,23359,35.8335177836213
0.800023,1,0,2,2,23359,0,0,23359,35.833570150575
0.800024,1,0,2,2,23359,0,0,23359,35.8336225175312
0.800025,1,0,2,2,23359,0,0,23359,35.8336748844899
0.800026,1,0,2,2,23359,0,0,23359,35.8337272514511
0.800027,1,0,2,2,23359,0,0,23359,35.8337796184147
0.800028,0,0,0,2,23360,1,0,23360,35.8338319853807
0.800029,0,0,0,0,23360,0,0,23360,35.8338843523491
0.80003,0,0,0,0,23360,0,0,23360,35.83393671932
0.800031,0,0,0,0,23360,0,0,23360,35.8339890862931
0.800032,0,0,0,0,23360,0,0,23360,35.8340414532687
0.800033,0,0,0,0,23360,0,0,23360,35.8340938202465
0.800034,0,0,0,0,23360,0,0,23360,35.8341461872266
0.800035,0,0,0,0,23360,0,0,23360,35.834198554209
0.800036,0,0,0,0,23360,0,0,23360,35.8342509211937
0.800037,0,0,0,0,23360,0,0,23360,35.8343032881806
0.800038,0,0,0,0,23360,0,0,23360,35.8343556551697
0.800039,0,0,0,0,23360,0,0,23360,35.8344080221609
0.80004,0,0,0,0,23360,0,0,23360,35.8344603891544
0.800041,0,0,0,0,23360,0,0,23360,35.83451275615
0.800042,0,0,0,0,23360,0,0,23360,35.8345651231477
0.800043,0,0,0,0,23360,0,0,23360,35.8346174901475
0.800044,0,0,0,0,23360,0,0,23360,35.8346698571494
0.800045,0,0,0,0,23360,0,0,23360,35.8347222241533
0.800046,0,0,0,0,23360,0,0,23360,35.8347745911592
0.800047,0,0,0,0,23360,0,0,23360,35.8348269581672
0.800048,0,0,0,0,23360,0,0,23360,35.8348793251772
0.800049,0,0,0,0,23360,0,0,23360,35.8349316921891
0.80005,0,0,0,0,23360,0,0,23360,35.834984059203
0.800051,0,0,0,0,23360,0,0,23360,35.8350364262188
0.800052,0,0,0,0,23360,0,0,23360,35.8350887932365
0.800053,0,0,0,0,23360,0,0,23360,35.8351411602561
0.800054,0,0,0,0,23360,0,0,23360,35.8351935272775
0.800055,0,0,0,0,23360,0,0,23360,35.8352458943008
0.800056,0,0,0,0,23360,0,0,23360,35.8352982613259
0.800057,0,1,1,0,23361,1,0,23361,35.8353506283528
0.800058,0,1,1,1,23361,0,0,23361,35.8354029953815
0.800059,0,1,1,1,23361,0,0,23361,35.8354553624119
0.80006,0,1,1,1,23361,0,0,23361,35.8355077294441
0.800061,0,1,1,1,23361,0,0,23361,35.835560096478
0.800062,0,1,1,1,23361,0,0,23361,35.8356124635135
0.800063,0,1,1,1,23361,0,0,23361,35.8356648305507
0.800064,0,1,1,1,23361,0,0,23361,35.8357171975896
0.800065,0,1,1,1,23361,0,0,23361,35.8357695646301
0.800066,0,1,1,1,23361,0,0,23361,35.8358219316722
0.800067,0,1,1,1,23361,0,0,23361,35.8358742987159
0.800068,0,1,1,1,23361,0,0,23361,35.8359266657611
0.800069,0,1,1,1,23361,0,0,23361,35.8359790328079
0.80007,0,1,1,1,23361,0,0,23361,35.8360313998562
0.800071,0,1,1,1,23361,0,0,23361,35.836083766906
0.800072,0,1,1,1,23361,0,0,23361,35.8361361339573
0.800073,0,1,1,1,23361,0,0,23361,35.83618850101
0.800074,0,1,1,1,23361,0,0,23361,35.8362408680642
0.800075,0,1,1,1,23361,0,0,23361,35.8362932351198
0.800076,0,1,1,1,23361,0,0,23361,35.8363456021768
0.800077,0,1,1,1,23361,0,0,23361,35.8363979692351
0.800078,0,1,1,1,23361,0,0,23361,35.8364503362948
0.800079,0,1,1,1,23361,0,0,23361,35.8365027033558
0.80008,0,1,1,1,23361,0,0,23361,35.8365550704182
0.800081,0,1,1,1,23361,0,0,23361,35.8366074374818
0.800082,0,1,1,1,23361,0,0,23361,35.8366598045467
0.800083,0,1,1,1,23361,0,0,23361,35.8367121716128
0.800084,0,1,1,1,23361,0,0,23361,35.8367645386801
0.800085,0,1,1,1,23361,0,0,23361,35.8368169057487
0.800086,1,1,3,1,23362,1,0,23362,35.8368692728184
0.800087,1,1,3,3,23362,0,0,23362,35.8369216398894
0.800088,1,1,3,3,23362,0,0,23362,35.8369740069614
0.800089,1,1,3,3,23362,0,0,23362,35.8370263740346
0.80009,1,1,3,3,23362,0,0,23362,35.8370787411088
0.800091,1,1,3,3,23362,0,0,23362,35.8371311081842
0.800092,1,1,3,3,23362,0,0,23362,35.8371834752606
0.800093,1,1,3,3,23362,0,0,23362,35.837235842338
0.800094,1,1,3,3,23362,0,0,23362,35.8372882094165
0.800095,1,1,3,3,23362,0,0,23362,35.8373405764959
0.800096,1,1,3,3,23362,0,0,23362,35.8373929435764
0.800097,1,1,3,3,23362,0,0,23362,35.8374453106577
0.800098,1,1,3,3,23362,0,0,23362,35.8374976777401
0.800099,1,1,3,3,23362,0,0,23362,35.8375500448233
0.8001,1,1,3,3,23362,0,0,23362,35.8376024119074
