passed,max_abs_rpm,rms_rpm,final_difference_rpm,limit_rpm,max_abs_encoder_rpm,rms_encoder_rpm,final_difference_encoder_rpm,limit_encoder_rpm,max_abs_current_A,rms_current_A,final_difference_current_A,limit_current_A,max_abs_voltage_command_sat_V,rms_voltage_command_sat_V,final_difference_voltage_command_sat_V,limit_voltage_command_sat_V,max_abs_raw_voltage_V,rms_raw_voltage_V,final_difference_raw_voltage_V,limit_raw_voltage_V,max_abs_duty_cycle,rms_duty_cycle,final_difference_duty_cycle,limit_duty_cycle,max_abs_encoder_count,rms_encoder_count,final_difference_encoder_count,limit_encoder_count,max_abs_integrator_V,rms_integrator_V,final_difference_integrator_V,limit_integrator_V,target_rpm
1,2.50817588920427e-10,1.25380671016659e-11,-6.25277607468888e-13,1,0,0,0,29.296875,5.18547427219573e-11,2.29609399529098e-12,1.69086966650411e-13,0.1,0,0,0,0.2,0,0,0,0.2,0,0,0,0.0166666666666667,0,0,0,1,0,0,0,0.02,500
1,4.9335202589873e-10,2.43403774208968e-11,-9.32232069317251e-12,1,0,0,0,29.296875,1.01991748380215e-10,4.39133776723318e-12,5.49171819130834e-13,0.1,0,0,0,0.2,0,0,0,0.2,0,0,0,0.0166666666666667,0,0,0,1,0,0,0,0.02,1000
1,7.15735026801667e-10,3.68635467460537e-11,-1.20508047984913e-11,1,0,0,0,29.296875,1.47990508736484e-10,6.437925017885e-12,7.10764780365025e-13,0.1,0,0,0,0.2,0,0,0,0.2,0,0,0,0.0166666666666667,0,0,0,1,0,0,0,0.02,1500
1,9.15301612280928e-10,4.62584686579775e-11,1.31876731757075e-11,1,0,0,0,29.296875,1.8923174138763e-10,8.13661607068278e-12,-8.17068634972884e-13,0.1,0,0,0,0.2,0,0,0,0.2,0,0,0,0.0166666666666667,0,0,0,1,0,0,0,0.02,2000
