time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm
0.295,1952.64277949263,0.562143567370528,0.0281071783685264,10.224013685232,204.48027370464,11.3721729970249,0,2000,1948.2421875,51.7578125,11.3721729970249,11.0510904721897,13.5644181212175,0,11.3721729970249,0.947681083085409,11.3721729970249,0,37.552748527564,24480,133,1948.2421875,-4.4005919926276,1952.64277949263,1948.2421875
0.296,1953.39354025965,0.568969688227775,0.0284484844113888,10.2279446594158,204.558893188315,11.3765632500398,0,2000,1948.2421875,51.7578125,11.3765632500398,11.0554807252047,11.3036817676813,0,11.3765632500398,0.94804693750332,11.3765632500398,-1.77635683940025e-15,37.7572678390567,24613,133,1948.2421875,-5.15135275964622,1953.39354025965,1948.2421875
0.297,1954.16450282576,0.571603949363962,0.0285801974681981,10.2319814099723,204.639628199445,11.2900810903656,0,2000,1962.890625,37.109375,11.2900810903656,11.0598709782196,2450.8259848064,0,11.2900810903656,0.940840090863797,11.2900810903656,0,37.9618669998577,24747,134,1962.890625,8.72612217423898,1954.16450282576,1962.890625
0.298,1954.86323320266,0.544014241564846,0.0272007120782423,10.2356399536704,204.712799073408,11.3841012316315,0,2000,1948.2421875,51.7578125,11.3841012316315,11.0630187067963,-399.051262661332,0,11.3841012316315,0.948675102635959,11.3841012316315,0,38.1665443518968,24880,133,1948.2421875,-6.62104570265615,1954.86323320266,1948.2421875
0.299,1955.55746989255,0.562457453656239,0.028122872682812,10.2392749684784,204.785499369569,11.2976190719572,0,2000,1962.890625,37.109375,11.2976190719572,11.0674089598113,2108.86353111556,0,11.2976190719572,0.941468255996436,11.2976190719572,0,38.3712927523191,25014,134,1962.890625,7.33315510745274,1955.55746989255,1962.890625
0.3,1956.22749171837,0.540758033713401,0.02703790168567,10.2427831945547,204.855663891094,11.3916392132232,0,2000,1948.2421875,51.7578125,11.3916392132232,11.070556688388,-684.019974070369,0,11.3916392132232,0.949303267768598,11.3916392132232,0,38.5761142305737,25147,133,1948.2421875,-7.98530421836631,1956.22749171837,1948.2421875
0.301,1956.91091140299,0.56139611953249,0.0280698059766245,10.2463615716556,204.927231433111,11.3051570535489,0,2000,1962.890625,37.109375,11.3051570535489,11.0749469414029,1871.38960494136,0,11.3051570535489,0.942096421129075,11.3051570535489,0,38.7810048393425,25281,134,1962.890625,5.97971359701069,1956.91091140299,1962.890625
0.302,1957.57678374443,0.540514763522376,0.0270257381761188,10.2498480710824,204.996961421647,11.3991771948148,0,2000,1948.2421875,51.7578125,11.3991771948148,11.0780946699797,-881.914912548868,0,11.3991771948148,0.949931432901237,11.3991771948148,0,38.9859677988133,25414,133,1948.2421875,-9.33459624442548,1957.57678374443,1948.2421875
0.303,1958.25853969311,0.561457949086375,0.0280728974543188,10.2534177368822,205.068354737645,11.3126950351406,0,2000,1962.890625,37.109375,11.3126950351406,11.0824849229946,1706.47715620928,0,11.3126950351406,0.942724586261715,11.3126950351406,0,39.1909996054744,25548,134,1962.890625,4.63208530689076,1958.25853969311,1962.890625
0.304,1958.92367601643,0.540690572816297,0.0270345286408149,10.2569003825272,205.138007650544,11.3158427637173,0,2000,1962.890625,37.109375,11.3158427637173,11.0856326515713,1422.06429684106,0,11.3158427637173,0.942986896976443,11.3158427637173,0,39.3961036450316,25682,134,1962.890625,3.96694898357214,1958.92367601643,1962.890625
0.305,1959.5253405271,0.53301417692618,0.026650708846309,10.2600506905383,205.201013810765,11.3189904922941,0,2000,1962.890625,37.109375,11.3189904922941,11.0887803801481,1185.05358070089,0,11.3189904922941,0.943249207691171,11.3189904922941,0,39.6012734767836,25816,134,1962.890625,3.36528447290357,1959.5253405271,1962.890625
0.306,1960.10329476942,0.530215271140712,0.0265107635570356,10.2630768518746,205.261537037492,11.41301063356,0,2000,1948.2421875,51.7578125,11.41301063356,11.0919281087248,-1453.86159941593,0,11.41301063356,0.951084219463333,11.41301063356,0,39.8065048730236,25949,133,1948.2421875,-11.861107269418,1960.10329476942,1948.2421875
0.307,1960.7520562427,0.557896093211814,0.0278948046605907,10.2664737590052,205.329475180105,11.3265284738857,0,2000,1962.890625,37.109375,11.3265284738857,11.0963183617398,1229.85491715339,0,11.3265284738857,0.94387737282381,11.3265284738857,-1.77635683940025e-15,40.0117992511527,26083,134,1962.890625,2.13856875730085,1960.7520562427,1962.890625
0.308,1961.40466430102,0.539639592276089,0.0269819796138044,10.2698908068081,205.397816136161,11.3296762024625,0,2000,1962.890625,37.109375,11.3296762024625,11.0994660903165,1024.87909762783,0,11.3296762024625,0.944139683538539,11.3296762024625,0,40.2171636521069,26217,134,1962.890625,1.48596069897917,1961.40466430102,1962.890625
0.309,1962.00142886806,0.532899293114166,0.0266449646557083,10.2730154587743,205.460309175486,11.3328239310392,0,2000,1962.890625,37.109375,11.3328239310392,11.1026138188932,854.065914689857,0,11.3328239310392,0.944401994253267,11.3328239310392,-1.77635683940025e-15,40.4225929973567,26351,134,1962.890625,0.88919613193525,1962.00142886806,1962.890625
0.31,1962.57732841505,0.530449758292413,0.0265224879146207,10.276030861751,205.52061723502,11.3359716596159,0,2000,1962.890625,37.109375,11.3359716596159,11.10576154747,711.72159557488,0,11.3359716596159,0.944664304967995,11.3359716596159,0,40.6280835670335,26485,134,1962.890625,0.313296584949967,1962.57732841505,1962.890625
0.311,1963.14539572402,0.529598994689246,0.0264799497344623,10.2790052552254,205.580105104507,11.3391193881927,0,2000,1962.890625,37.109375,11.3391193881927,11.1089092760467,593.101329645734,0,11.3391193881927,0.944926615682724,11.3391193881927,-1.77635683940025e-15,40.8336339690497,26619,134,1962.890625,-0.254770724023501,1963.14539572402,1962.890625
0.312,1963.71048723103,0.529344040682003,0.0264672020341002,10.2819640674371,205.639281348742,11.3422671167694,0,2000,1962.890625,37.109375,11.3422671167694,11.1120570046235,494.251108038111,0,11.3422671167694,0.945188926397452,11.3422671167694,0,41.0392436786659,26753,134,1962.890625,-0.819862231034449,1963.71048723103,1962.890625
0.313,1964.27441308907,0.529311219423319,0.0264655609711659,10.284916776325,205.698335526501,11.3454148453462,0,2000,1962.890625,37.109375,11.3454148453462,11.1152047332002,411.875923365093,0,11.3454148453462,0.945451237112181,11.3454148453462,-1.77635683940025e-15,41.2449124943742,26887,134,1962.890625,-1.38378808906828,1964.27441308907,1962.890625
0.314,1964.83784848267,0.529361307572679,0.026468065378634,10.2878669171472,205.757338342944,11.3485625739229,0,2000,1962.890625,37.109375,11.3485625739229,11.1183524617769,343.229936137577,0,11.3485625739229,0.945713547826909,11.3485625739229,0,41.4506403351756,27021,134,1962.890625,-1.9472234826676,1964.83784848267,1962.890625
0.315,1965.40104572915,0.529442432477141,0.0264721216238571,10.290815811034,205.816316220679,11.3517103024996,0,2000,1962.890625,37.109375,11.3517103024996,11.1215001903537,286.024946781314,0,11.3517103024996,0.945975858541637,11.3517103024996,-1.77635683940025e-15,41.6564271650492,27155,134,1962.890625,-2.51042072914561,1965.40104572915,1962.890625
0.316,1965.96409958724,0.529535265874892,0.0264767632937446,10.2937639541409,205.875279082818,11.3548580310764,0,2000,1962.890625,37.109375,11.3548580310764,11.1246479189304,238.354122317762,0,11.3548580310764,0.946238169256366,11.3548580310764,0,41.8622729648112,27289,134,1962.890625,-3.0734745872403,1965.96409958724,1962.890625
0.317,1966.52704610366,0.529632604639005,0.0264816302319503,10.2967115352082,205.934230704163,11.2671333469639,0,2000,1977.5390625,22.4609375,11.2671333469639,11.1277956475072,2640.0346852648,0,11.2671333469639,0.938927778913661,11.2671333469639,0,42.0681777216292,27424,135,1977.5390625,11.0120163963388,1966.52704610366,1977.5390625
0.318,1967.01019680219,0.501069411978363,0.0250534705989181,10.2992413063499,205.984826126999,11.3599109637917,0,2000,1962.890625,37.109375,11.3599109637917,11.1297008516457,-241.377345612665,0,11.3599109637917,0.94665924698264,11.3599109637917,0,42.2741384260911,27558,134,1962.890625,-4.1195718021886,1967.01019680219,1962.890625
0.319,1967.48603875729,0.519121623442871,0.0259560811721436,10.3017328090006,206.034656180012,11.3630586923684,0,2000,1962.890625,37.109375,11.3630586923684,11.1328485802225,-201.147788010554,0,11.3630586923684,0.946921557697369,11.3630586923684,-1.77635683940025e-15,42.4801474321802,27692,134,1962.890625,-4.59541375728645,1967.48603875729,1962.890625
0.32,1968.01632257243,0.525910563295589,0.0262955281647795,10.3045093685639,206.090187371279,11.275334008256,0,2000,1977.5390625,22.4609375,11.275334008256,11.1359963087992,2273.78309332454,0,11.275334008256,0.939611167354664,11.275334008256,0,42.6862095812098,27827,135,1977.5390625,9.52273992756682,1968.01632257243,1977.5390625
0.321,1968.48713634869,0.499840914707951,0.0249920457353976,10.3069745437318,206.139490874635,11.3681116250837,0,2000,1962.890625,37.109375,11.3681116250837,11.1379015129377,-546.587005562885,0,11.3681116250837,0.947342635423643,11.3681116250837,-1.77635683940025e-15,42.8923254940247,27961,134,1962.890625,-5.59651134868932,1968.48713634869,1962.890625
0.322,1968.95821646234,0.5188225884274,0.02594112942137,10.3094411134389,206.188822268778,11.3712593536605,0,2000,1962.890625,37.109375,11.3712593536605,11.1410492415145,-455.489171302404,0,11.3712593536605,0.947604946138372,11.3712593536605,0,43.098488877378,28095,134,1962.890625,-6.0675914623373,1968.95821646234,1962.890625
0.323,1969.48656294108,0.52595825249571,0.0262979126247855,10.3122075291325,206.24415058265,11.283534669548,0,2000,1977.5390625,22.4609375,11.283534669548,11.1441969700912,2061.83194058133,0,11.283534669548,0.940294555795667,11.283534669548,0,43.3047050768231,28230,135,1977.5390625,8.05249955892054,1969.48656294108,1977.5390625
0.324,1969.95649392703,0.500018210742274,0.0250009105371137,10.3146680820211,206.293361640422,11.3763122863758,0,2000,1962.890625,37.109375,11.3763122863758,11.1461021742298,-723.212966182225,0,11.3763122863758,0.948026023864646,11.3763122863758,0,43.510974901304,28364,134,1962.890625,-7.06586892702808,1969.95649392703,1962.890625
