time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V,shaft_angle_rad,encoder_count,encoder_delta_count,encoder_rpm,encoder_rpm_error,true_rpm,feedback_rpm
0.6743,1000.01059409657,0.2087610096944,0.01043805048472,5.23604322654293,104.720864530859,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5009279115718,38116,69,1010.7421875,10.7315934034269,1000.01059409657,1010.7421875
0.67435,1000.01024087891,0.207176489789973,0.0103588244894986,5.23604137709957,104.720827541991,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5061639540387,38116,69,1010.7421875,10.7319466210897,1000.01024087891,1010.7421875
0.6744,1000.00951872054,0.205669316878662,0.0102834658439331,5.23603759588718,104.720751917744,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5113999936822,38116,69,1010.7421875,10.7326687794622,1000.00951872054,1010.7421875
0.67445,1000.00844565623,0.204235764639427,0.0102117882319713,5.23603197733558,104.720639546712,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5166360286181,38116,69,1010.7421875,10.7337418437736,1000.00844565623,1010.7421875
0.6745,1000.00703885187,0.202872286239738,0.0101436143119869,5.23602461132522,104.720492226504,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5218720570544,38116,69,1010.7421875,10.7351486481257,1000.00703885187,1010.7421875
0.67455,1000.00531464636,0.20157550569004,0.010078775284502,5.23601558340625,104.720311668125,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5271080772868,38116,69,1010.7421875,10.7368728536411,1000.00531464636,1010.7421875
0.6746,1000.00328859137,0.200342209614653,0.0100171104807326,5.23600497500715,104.720099500143,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5323440876944,38116,69,1010.7421875,10.7388989086271,1000.00328859137,1010.7421875
0.67465,1000.00097548934,0.199169339419047,0.00995846697095235,5.23599286363323,104.719857272665,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5375800867359,38116,69,1010.7421875,10.7412120106592,1000.00097548934,1010.7421875
0.6747,999.99838942951,0.198053983834402,0.00990269919172012,5.23597932305562,104.719586461112,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.5428160729453,38116,69,1010.7421875,10.74379807049,999.99838942951,1010.7421875
0.67475,999.995543822302,0.196993371821279,0.00984966859106393,5.23596442349112,104.719288469822,5.58858595866065,0,1000,1010.7421875,-10.7421875,5.58858595866065,5.65522572796607,1976.07523655001,0,5.58858595866065,0.465715496555054,5.58858595866065,0,58.548052044929,38116,69,1010.7421875,10.7466436776978,999.995543822302,1010.7421875
