time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V
0.54265,499.785255891374,0.105420404222083,0.00527102021110416,2.61686948046806,52.3373896093612,2.8276881878515,0,500,499.782929485069,0.217070514931379,2.8276881878515,2.82634157860287,3.9507063158762,0,2.8276881878515,0.235640682320959,2.8276881878515,0
0.5427,499.785433826,0.105419853825766,0.00527099269128828,2.61687041213158,52.3374082426316,2.8276881878515,0,500,499.782929485069,0.217070514931379,2.8276881878515,2.82634157860287,3.9507063158762,0,2.8276881878515,0.235640682320959,2.8276881878515,0
0.54275,499.785611620832,0.10541930756272,0.00527096537813598,2.61687134306314,52.3374268612629,2.8276881878515,0,500,499.782929485069,0.217070514931379,2.8276881878515,2.82634157860287,3.9507063158762,0,2.8276881878515,0.235640682320959,2.8276881878515,0
0.5428,499.785789276842,0.105418765249149,0.00527093826245746,2.61687227326784,52.3374454653568,2.8276881878515,0,500,499.782929485069,0.217070514931379,2.8276881878515,2.82634157860287,3.9507063158762,0,2.8276881878515,0.235640682320959,2.8276881878515,0
0.54285,499.785966794959,0.105418226710101,0.00527091133550503,2.61687320275052,52.3374640550105,2.8276881878515,0,500,499.782929485069,0.217070514931379,2.8276881878515,2.82634157860287,3.9507063158762,0,2.8276881878515,0.235640682320959,2.8276881878515,0
0.5429,499.78614417607,0.105417691779037,0.00527088458895187,2.61687413151585,52.3374826303171,2.8276881878515,0,500,499.782929485069,0.217070514931379,2.8276881878515,2.82634157860287,3.9507063158762,0,2.8276881878515,0.235640682320959,2.8276881878515,0
0.54295,499.786321421026,0.105417160297434,0.00527085801487168,2.61687505956827,52.3375011913654,2.8276881878515,0,500,499.782929485069,0.217070514931379,2.8276881878515,2.82634157860287,3.9507063158762,0,2.8276881878515,0.235640682320959,2.8276881878515,0
0.543,499.786498530637,0.105416632114389,0.00527083160571946,2.61687598691203,52.3375197382405,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.54305,499.786675494739,0.10541601617341,0.00527080080867049,2.6168769134939,52.3375382698779,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
0.5431,499.786852303849,0.105415407687257,0.00527077038436287,2.61687783926423,52.3375567852846,2.82768445964758,0,500,499.786498530637,0.213501469362768,2.82768445964758,2.82635999117552,3.88709619133197,0,2.82768445964758,0.235640371637298,2.82768445964758,-4.44089209850063e-16
