target_rpm,rise_time_s,overshoot_pct,settling_time_s,steady_error_rpm,tail_max_error_rpm,max_current_A,min_current_A,max_abs_current_A,max_voltage_command_V,min_voltage_command_V,max_average_voltage_V,min_average_voltage_V,max_duty,min_duty,saturation_occurred,saturation_duration_s,saturation_percentage,all_signals_finite,phase3_regression_pass
500,0.142934161473278,1.67819453888995e-06,0.25405,1.50821302327131e-05,5.14267720177486e-05,1.49917519510526,0,1.49917519510526,3.13430262876987,0,3.13430262876987,0,0.261191885730823,0,0,0,0,1,1
1000,0.142934161473278,1.67819453888995e-06,0.25405,3.01642604654262e-05,0.000102853544035497,2.99835039021074,0,2.99835039021074,6.26860525753981,0,6.26860525753981,0,0.522383771461651,0,0,0,0,1,1
1500,0.142934161473278,1.67819433904981e-06,0.25405,4.52463921192248e-05,0.000154280317929079,4.49752558531605,0,4.49752558531605,9.4029078863097,0,9.4029078863097,0,0.783575657192475,0,0,0,0,1,1
2000,0.144651792711524,0,0.257,0.000326310926766382,0.000574344331653265,5.74287859622173,0,5.74287859622173,12,0,12,0,1,0,1,0.041,4.1,1,1
