time_s,duty_ideal,duty_quantized,voltage_quantized_V
0,0,0,0
0.001,0,0,0
0.002,0,0,0
0.003,0,0,0
0.004,0,0,0
0.005,0,0,0
0.006,0,0,0
0.007,0,0,0
0.008,0,0,0
0.009,0,0,0
0.01,0,0,0
0.011,0,0,0
0.012,0,0,0
0.013,0,0,0
0.014,0,0,0
0.015,0,0,0
0.016,0,0,0
0.017,0,0,0
0.018,0,0,0
0.019,0,0,0
0.02,0,0,0
0.021,0,0,0
0.022,0,0,0
0.023,0,0,0
0.024,0,0,0
0.025,0,0,0
0.026,0,0,0
0.027,0,0,0
0.028,0,0,0
0.029,0,0,0
0.03,0,0,0
0.031,0,0,0
0.032,0,0,0
0.033,0,0,0
0.034,0,0,0
0.035,0,0,0
0.036,0,0,0
0.037,0,0,0
0.038,0,0,0
0.039,0,0,0
0.04,0,0,0
0.041,0,0,0
0.042,0,0,0
0.043,0,0,0
0.044,0,0,0
0.045,0,0,0
0.046,0,0,0
0.047,0,0,0
0.048,0,0,0
0.049,0,0,0
0.05,0.516963058854115,0.516971916971917,6.203663003663
0.051,0.521218829029335,0.521123321123321,6.25347985347985
0.052,0.522383771461842,0.522344322344322,6.26813186813187
0.053,0.522373748762633,0.522344322344322,6.26813186813187
0.054,0.521921027269837,0.521855921855922,6.26227106227106
0.055,0.521305432616716,0.521367521367521,6.25641025641026
0.056,0.520633841540798,0.520634920634921,6.24761904761905
0.057,0.519947020519646,0.51990231990232,6.23882783882784
0.058,0.519260465934024,0.519169719169719,6.23003663003663
0.059,0.518580015628137,0.518681318681319,6.22417582417583
0.06,0.517907816573986,0.517948717948718,6.21538461538462
0.061,0.517244606056386,0.517216117216117,6.20659340659341
0.062,0.516590583663111,0.516483516483517,6.1978021978022
0.063,0.515945744595846,0.515995115995116,6.19194139194139
0.064,0.515310007065656,0.515262515262515,6.18315018315018
0.065,0.514683260975329,0.514774114774115,6.17728937728938
0.066,0.514065386513038,0.514041514041514,6.16849816849817
0.067,0.513456261244493,0.513553113553114,6.16263736263736
0.068,0.512855762808758,0.512820512820513,6.15384615384615
0.069,0.512263769933719,0.512332112332112,6.14798534798535
0.07,0.511680162809435,0.511599511599512,6.13919413919414
0.071,0.511104823216236,0.511111111111111,6.13333333333333
0.072,0.510537634559285,0.510622710622711,6.12747252747253
0.073,0.509978481867569,0.50989010989011,6.11868131868132
0.074,0.509427251779501,0.509401709401709,6.11282051282051
0.075,0.508883832523599,0.508913308913309,6.10695970695971
0.076,0.508348113897469,0.508424908424908,6.1010989010989
0.077,0.507819987246334,0.507936507936508,6.09523809523809
0.078,0.507299345441573,0.507203907203907,6.08644688644689
0.079,0.506786082859458,0.506715506715507,6.08058608058608
0.08,0.506280095360128,0.506227106227106,6.07472527472527
0.081,0.505781280266859,0.505738705738706,6.06886446886447
0.082,0.505289536345602,0.505250305250305,6.06300366300366
0.083,0.50480476378481,0.504761904761905,6.05714285714286
0.084,0.50432686417554,0.504273504273504,6.05128205128205
0.085,0.50385574049184,0.503785103785104,6.04542124542125
0.086,0.503391297071401,0.503296703296703,6.03956043956044
0.087,0.502933439596482,0.503052503052503,6.03663003663004
0.088,0.502482075075095,0.502564102564103,6.03076923076923
0.089,0.502037111822463,0.502075702075702,6.02490842490842
0.09,0.501598459442726,0.501587301587302,6.01904761904762
0.091,0.501166028810904,0.501098901098901,6.01318681318681
0.092,0.500739732055116,0.500854700854701,6.01025641025641
0.093,0.500319482539039,0.5003663003663,6.0043956043956
0.094,0.499905194844619,0.4998778998779,5.9985347985348
0.095,0.499496784755015,0.499389499389499,5.99267399267399
0.096,0.49909416923779,0.499145299145299,5.98974358974359
0.097,0.498697266428324,0.498656898656899,5.98388278388278
0.098,0.498305995613471,0.498412698412698,5.98095238095238
0.099,0.497920277215434,0.497924297924298,5.97509157509158
0.1,0.49754003277587,0.497435897435897,5.96923076923077
0.101,0.497165184940212,0.497191697191697,5.96630036630037
0.102,0.496795657442216,0.496703296703297,5.96043956043956
0.103,0.496431375088716,0.496459096459096,5.95750915750916
0.104,0.496072263744596,0.495970695970696,5.95164835164835
0.105,0.495718250317972,0.495726495726496,5.94871794871795
0.106,0.495369262745577,0.495482295482295,5.94578754578755
0.107,0.495025229978353,0.494993894993895,5.93992673992674
