target_rpm,all_passed,max_abs_rpm,relative_rpm,max_abs_current_A,relative_current_A,max_abs_torque_Nm,relative_torque_Nm,max_abs_back_emf_V,relative_back_emf_V,max_abs_voltage_V,relative_voltage_V,max_abs_raw_voltage_V,relative_raw_voltage_V,max_abs_voltage_avg_error_V,max_abs_duty_identity
500,1,1.13686837721616e-13,2.2737367162746e-16,5.55111512312578e-16,3.7083665741599e-16,2.77555756156289e-17,2.77555756156289e-17,4.44089209850063e-16,1.69629580164673e-16,8.88178419700125e-16,2.83373536284437e-16,8.88178419700125e-16,2.83373536284437e-16,4.44089209850063e-16,5.55111512312578e-17
1000,1,5.6843418860808e-14,5.68434179068649e-17,4.44089209850063e-16,1.48334662966379e-16,2.77555756156289e-17,2.77555756156289e-17,4.44089209850063e-16,8.48147900823366e-17,8.88178419700125e-16,1.41686768142217e-16,8.88178419700125e-16,1.41686768142217e-16,8.88178419700125e-16,1.11022302462516e-16
1500,1,4.54747350886464e-13,3.0316489550328e-16,3.33066907387547e-15,7.4167331483191e-16,1.66533453693773e-16,1.66533453693773e-16,1.77635683940025e-15,2.26172773552898e-16,5.32907051820075e-15,5.66747072568869e-16,5.32907051820075e-15,5.66747072568869e-16,1.77635683940025e-15,1.11022302462516e-16
2000,1,4.54747350886464e-13,2.27373692580292e-16,1.60982338570648e-15,2.80726761268935e-16,8.32667268468867e-17,8.32667268468867e-17,1.77635683940025e-15,1.69629595796299e-16,1.77635683940025e-15,1.48029736616688e-16,1.77635683940025e-15,1.41809006284642e-16,1.77635683940025e-15,1.11022302462516e-16
