time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm
0.36428696465625,2092.79027343381,0.522150371552607,0.0261075185776303,10.9578242475397,219.156484950795,12,0
0.36433696465625,2092.81028129903,0.522097264942098,0.0261048632471049,10.9579290084771,219.158580169541,12,0
0.36438696465625,2092.83027549027,0.522044194626273,0.0261022097313136,10.9580336978175,219.160673956351,12,0
0.36443696465625,2092.85025601686,0.521991160580327,0.0260995580290164,10.9581383156101,219.162766312203,12,0
0.36448696465625,2092.87022288815,0.521938162779473,0.0260969081389737,10.9582428619037,219.164857238075,12,0
0.36453696465625,2092.89017611347,0.521885201198939,0.026094260059947,10.9583473367472,219.166946734944,12,0
0.36458696465625,2092.91011570214,0.521832275813972,0.0260916137906986,10.9584517401893,219.169034803787,12,0
0.36463696465625,2092.93004166348,0.521779386599833,0.0260889693299916,10.958556072279,219.171121445579,12,0
0.36468696465625,2092.94995400682,0.521726533531803,0.0260863266765901,10.9586603330648,219.173206661297,12,0
0.36473696465625,2092.96985274144,0.521673716585178,0.0260836858292589,10.9587645225957,219.175290451914,12,0
0.36478696465625,2092.98973787667,0.521620935735273,0.0260810467867636,10.9588686409203,219.177372818406,12,0
0.36483696465625,2093.00960942178,0.521568190957417,0.0260784095478708,10.9589726880872,219.179453761744,12,0
0.36488696465625,2093.02946738607,0.521515482226957,0.0260757741113479,10.9590766641451,219.181533282901,12,0
0.36493696465625,2093.04931177882,0.521462809519258,0.0260731404759629,10.9591805691425,219.183611382851,12,0
0.36498696465625,2093.06914260931,0.521410172809701,0.0260705086404851,10.9592844031281,219.185688062563,12,0
0.36503696465625,2093.08895988679,0.521357572073683,0.0260678786036842,10.9593881661504,219.187763323008,12,0
0.36508696465625,2093.10876362055,0.52130500728662,0.026065250364331,10.9594918582579,219.189837165157,12,0
0.36513696465625,2093.12855381982,0.521252478423941,0.0260626239211971,10.959595479499,219.191909589979,12,0
0.36518696465625,2093.14833049387,0.521199985461096,0.0260599992730548,10.9596990299221,219.193980598442,12,0
0.36523696465625,2093.16809365193,0.52114752837355,0.0260573764186775,10.9598025095757,219.196050191515,12,0
0.36528696465625,2093.18784330324,0.521095107136784,0.0260547553568392,10.9599059185082,219.198118370164,12,0
0.36533696465625,2093.20757945704,0.521042721726297,0.0260521360863148,10.9600092567678,219.200185135357,12,0
0.36538696465625,2093.22730212254,0.520990372117604,0.0260495186058802,10.9601125244029,219.202250488059,12,0
0.36543696465625,2093.24701130898,0.520938058286236,0.0260469029143118,10.9602157214618,219.204314429236,12,0
0.36548696465625,2093.26670702555,0.520885780207743,0.0260442890103872,10.9603188479926,219.206376959852,12,0
0.36553696465625,2093.28638928146,0.52083353785769,0.0260416768928845,10.9604219040436,219.208438080871,12,0
0.36558696465625,2093.30605808592,0.52078133121166,0.026039066560583,10.9605248896629,219.210497793257,12,0
0.36563696465625,2093.32571344811,0.52072916024525,0.0260364580122625,10.9606278048987,219.212556097973,12,0
0.36568696465625,2093.34535537723,0.520677024934076,0.0260338512467038,10.960730649799,219.214612995981,12,0
0.36573696465625,2093.36498388245,0.520624925253771,0.0260312462626885,10.960833424412,219.216668488241,12,0
0.36578696465625,2093.38459897295,0.520572861179983,0.0260286430589991,10.9609361287857,219.218722575715,12,0
0.36583696465625,2093.4042006579,0.520520832688378,0.0260260416344189,10.9610387629681,219.220775259362,12,0
0.36588696465625,2093.42378894645,0.520468839754637,0.0260234419877318,10.9611413270071,219.222826540143,12,0
0.36593696465625,2093.44336384777,0.520416882354459,0.026020844117723,10.9612438209508,219.224876419015,12,0
0.36598696465625,2093.462925371,0.520364960463561,0.026018248023178,10.9613462448469,219.226924896938,12,0
0.36603696465625,2093.48247352529,0.520313074057672,0.0260156537028836,10.9614485987434,219.228971974868,12,0
0.36608696465625,2093.50200831977,0.520261223112543,0.0260130611556271,10.9615508826881,219.231017653762,12,0
0.36613696465625,2093.52152976357,0.520209407603937,0.0260104703801969,10.9616530967288,219.233061934577,12,0
0.36618696465625,2093.54103786582,0.520157627507637,0.0260078813753819,10.9617552409134,219.235104818267,12,0
0.36623696465625,2093.56053263564,0.520105882799441,0.0260052941399721,10.9618573152894,219.237146305788,12,0
0.36628696465625,2093.58001408213,0.520054173455163,0.0260027086727582,10.9619593199047,219.239186398094,12,0
0.36633696465625,2093.59948221441,0.520002499450635,0.0260001249725318,10.962061254807,219.241225096139,12,0
0.36638696465625,2093.61893704156,0.519950860761704,0.0259975430380852,10.9621631200437,219.243262400875,12,0
0.36643696465625,2093.6383785727,0.519899257364235,0.0259949628682117,10.9622649156627,219.245298313254,12,0
0.36648696465625,2093.65780681689,0.519847689234108,0.0259923844617054,10.9623666417114,219.247332834229,12,0
0.36653696465625,2093.67722178323,0.51979615634722,0.025989807817361,10.9624682982375,219.24936596475,12,0
0.36658696465625,2093.69662348079,0.519744658679486,0.0259872329339743,10.9625698852883,219.251397705766,12,0
