target_rpm,rise_time_s,overshoot_pct,settling_time_s,steady_error_rpm,tail_max_error_rpm,max_current_A,min_current_A,max_abs_current_A,max_voltage_V,min_voltage_V,max_abs_integrator_V,saturation_occurred,saturation_duration_s,all_signals_finite,true_rpm_tail_ripple,encoder_max_abs_error_rpm,encoder_rms_error_rpm,encoder_mean_error_rpm,encoder_tail_ripple_rpm,encoder_tail_rms_error_rpm,encoder_tail_mean_error_rpm,delta_count_min,delta_count_max,tail_counts_per_window,expected_counts_per_window,tail_delta_count_min,tail_delta_count_max,rpm_per_count,encoder_ppr,encoder_cpr,Tenc_s,min_duty,max_duty,duty_tail_ripple,saturation_percentage,window_quantization_max_error_rpm
500,0.141846085819276,0.0168419315345947,0.25195,-0.000330406082412082,0.082188405975387,1.51467162865778,0,1.51467162865778,3.18660135477161,0,2.82806845627709,0,0,1,0.141499810118205,14.9415113847723,5.109092603973,-0.260567157577022,14.6484375,4.96945445881455,0.014245153619169,0,35,34.134328358209,34.1333333333333,34,35,14.6484375,1024,4096,0.001,0,0.265550112897634,0.00757270105743554,0,13.9255423939451
1000,0.141789260171067,0.0061734089938037,0.25225,5.69702751818113e-05,0.0589277918836615,3.01012180370533,0,3.01012180370533,6.37320270954323,0,5.6554742328538,0,0,1,0.113931997700888,19.3210599893218,6.09018300442291,-0.514102372104564,14.6484375,6.43573346862439,-0.0436697088291533,0,69,68.2636815920398,68.2666666666667,68,69,14.6484375,1024,4096,0.001,0,0.531100225795269,0.00757270105743779,0,13.643571217722
1500,0.141809756731122,0.00408620331928677,0.25215,0.00324959195017982,0.0482728217486965,4.5341157211609,0,4.5341157211609,9.50405121696864,0,8.48296284439298,0,0,1,0.093965455005673,22.1981976710855,6.63184211196116,-0.752134959499748,14.6484375,7.17225972751445,0.0469762710549267,0,103,102.402985074627,102.4,102,103,14.6484375,1024,4096,0.001,0,0.79200426808072,0.00757270105743879,0,13.3157082125847
2000,0.144008741440318,0.00322908411043432,0.25585,0.00326844647133839,0.0527047669600051,5.74287859622173,0,5.74287859622173,12,0,11.3103639049583,1,0.042,1,0.0994082553213502,23.5057238822574,7.02838768052348,-1.01162810012127,14.6484375,7.30088926359061,-0.0113071132306259,0,137,136.532338308458,136.533333333333,136,137,14.6484375,1024,4096,0.001,0,1,0.00757270105743513,4.2,14.2798379962451
